;Nombre;Nombre 1;Nombre 2;;Nombre;Tesis;Keywords;Resumen;Fecha;Año;Idioma;Citas;Director;;Director;Codirector;Codirector;Grupo de Investigación
11;Pérez Pérez, Mario Frank;Pérez-Pérez, Mario Frank;Pérez-Pérez, Ma;Pérez-Pérez, Ma.;Pérez-Pérez, Ma.;Caracterización y modelación de la red de conocimientos de la cadena productiva de frutas en el Departamento de Córdoba;"Gestión del conocimiento
Fruticultura
Industria y comercio de alimentos";En las últimas dos décadas se ha desarrollado una gran nueva disciplina económica, “La Economía de Conocimiento”, que persigue el estudio de su producción, transmisión y utilización. En el presente proyecto, se describe la caracterización de la red de conocimiento en la cadena productiva frutihorticola en las etapas de cosecha y postcosecha específicamente en una zona relevante de Colombia, el Departamento de Córdoba donde se integran los componentes: tecnológicos, organizaciones y productores primarios del sector frutihorticola, delineados a través de un modelo de gestión del conocimiento que describe los componentes principales de esta red, esquematizados a través de nodos o recursos de conocimiento, los cuales se apoyan en unos agentes facilitadores internos y externos y que de acuerdo a indicadores se evalúa su efecto o comportamiento en una red de conocimiento aplicada a la Agroindustria Frutihorticola, en el Departamento de Córdoba;2012;2012;Español;0;Medina García, Víctor Hugo;Medina-García, Víctor;Medina-Garcia, Vi.;;;Grupo internacional en informática y comunicaciones para la gestión del conocimiento GICOGE
12; Présiga Duque, Fabián de Jesús;Présiga-Duque, Fabián de Jesús;Présiga-Duque, Fa;Présiga-Duque, Fa.;Présiga-Duque, Fa.;Diseño metodológico de un sistema de gestión integral de la gestión del conocimiento para laboratorios de ingeniería mecánica  norma ISO/IEC 17025;"Comportamiento organizacional
Cultura organizacional
NTC ISO 17025";Este proyecto pretende integrar la Norma NTC ISO 17025 a la gestión del conocimiento para que se pueda convertir todo el conocimiento tácito en explicito, por medio de una metodología, la cual debe ser universal y no solo particular para que sea posible su aplicación en varios casos. Para lograr lo anterior, se diseña una metodología que permite la integración del Sistema de Gestión de la Norma ISO/IEC 17025 y un modelo Gestión del Conocimiento buscando que los factores que intervienen en el normal funcionamiento de un laboratorio no afecten la prestación del servicio a clientes internos y externos (alumnos e industria);2012;2012;Español;0;Vega, Agustín;;Vega, Ag.;;;BIBLIOTECA VIRTUAL
13;Robles Estepa, Cesar Ramiro;Robles-Estepa, Cesar Ramiro;Robles-Estepa, Ce;Robles-Estepa, Ce.;Robles-Estepa, Ce.;La neurona Diiseño e implementacion de un sistema adaptativo inteligente para la realizacion, control y mejoramiento de la planeacion de demanda en la industria del retail;"Software de aplicación
Sistemas de control digital
Almacenes al por menor";En este trabajo se desarrolló un sistema adaptativo inteligente basado en reglas, métricas y pronósticos de juicio que permita planear la demanda y mejorar la precisión de Pronósticos vs la Precisión Alcanzada con métodos convencionales a nivel de SKU (Item / Locación) con una interfaz humana;2012;2012;Español;0;Mesa Álvarez, Joaquín Javier;Meza Álvarez, Joaquín Javier;Meza- alvares, Jo.;;;Modelación en Ingeniería de Sistemas (MIS)
14;Rocha González, Jair Eduardo;Rocha-González, Jair Eduardo;Rocha-González, Ja;Rocha-González, Ja.;Rocha-González, Ja.; Modelo de gestión de conocimiento fundamentado en cibernética en la cadena productiva de cuero curtido en Bogotá D.C.;"Cibernética
Teoría del conocimiento
Cuero - Industria y comercio";El documento contiene la propuesta para el uso de la cibernética en la gestión del conocimiento, utilizando la identificación, cuantificación y cualificación de los componentes de empresas e individuos vinculados a la cadena productiva de cuero curtido en la ciudad de Bogotá. Para ello se realiza una revisión literaria de los conceptos usados en gestión de conocimiento, abarcando diversas perspectivas, luego se indica cómo se conforman los procesos de conocimiento en las organizaciones, para culminar con un recorrido de las técnicas de medición de cocimiento propuestas;2012;2012;Español;1;Medina García, Víctor Hugo;Medina-García, Víctor;Medina-Garcia, Vi.;;;Grupo internacional en informática y comunicaciones para la gestión del conocimiento GICOGE
15;Rocha Medina, Linda Bibiana;Rocha-Medina, Linda Bibiana;Rocha-Medina, Li;Rocha-Medina, Li.;Rocha-Medina, Li.;Sistema de ruteo de vehículos con múltiples viajes y ventanas de tiempo;"Ingeniería de tránsito Transporte
Rutas comerciales";"La investigación presenta un sistema de ruteo de vehículos compuesto por un sistema de procesos logísticos y un modelo matemático para un Problema de Ruteo de Vehículos con Múltiples Viajes y Ventanas de Tiempo (Multi trip VRPTW). Se realiza la descripción del sector, seleccionado los países con el desempeño logístico más alto; se explican las características de cada uno de estos países con el fin de establecer aspectos por mejorar en Colombia";2012;2012;Español;0;Orjuela Castro, Javier Arturo;Orjuela-Castro, Javier;Orjuela-Castro, Ja.;;;Grupo de Investigación en Competitividad dela Industria Colombiana - GICIC
16;Roldan Nariño, Raúl Fabián;Roldan-Nariño, Raúl Fabián;Roldan-Nariño, Ra;Roldan-Nariño, Ra.;Roldan-Nariño, Ra.;Garantía de calidad de los Mercados Universitarios de Ingeniería  Propuesta de una función de producción educativa;"Calidad de la educación
Educación superior
Sistemas de enseñanza";Este trabajo propone una función de producción educativa que permita cuantificar la contribución del estudio en el bienestar, para emplearse como indicador de la calidad del proceso educación superior en ingeniería, percibido por el estudiante. La investigación se fundamenta en el bienestar subjetivo, midiendo variables relacionadas con los sucesos, percepciones e ilusiones de 143 estudiantes de 9 universidades con programas de formación en ingeniería;2012;2012;Español;0; González Peñarete, Jairo;González-Peñarete, Jairo;González Peñarete, Ja.; Pinzón, Wilson Alexander;Pinzon-Rueda, Wi.;Otros
17; Sánchez Acevedo, Luis Carlos;Sánchez-Acevedo, Luis Carlos;Sánchez-Acevedo, Lu;Sánchez-Acevedo, Lu.;Sánchez-Acevedo, Lu.;Estructuración de un modelo de optimización para el procesamiento de órdenes de pedido de materiales en un depósito o almacén del sector maderero;"Administración de materiales
Control de inventarios
Industria de la madera
Programación heurística";"Se realiza un método de procedimiento de pedidos para mejorar los tiempos de entrega, basado en los modelos de optimación TSP y VRP, en un almacén o bodega de productos madereros; analizando el escenario de trabajo de un almacén o bodega en el sector maderero, se caracteriza el modelo para procesar las órdenes de pedido en bodega";2012;2012;Español;0;Torres Acosta, Jairo Humberto;Torres-Acosta, Jairo;Torres-Acosta, Ja.;Guadarrama González, Pablo;Guadarrama-Gonzales, Pa.;Modelos Matemáticos Aplicados a la Industria MMAI
18; Avendaño Rodríguez, Elkin Javier;Avendaño-Rodríguez, Elkin Javier;Avendaño-Rodríguez, El;Avendaño-Rodríguez, El.;Avendaño-Rodríguez, El.;Estudio prospectivo y modelización con dinámica de sistemas de los combustibles limpios en Colombia al año 2.032;"Recursos energéticos renovables
Sistemas dinámicos diferenciales
Simulación por computadores
Combustibles gaseosos
";En Colombia desde los años sesenta y ochenta, la principal fuente de contaminación ambiental ha sido generada por la combustión y emisión de gases contaminantes de los vehículos automotores, pero en vista de su continuidad al pasar más de dos décadas, se ha decidido desarrollar un estudio prospectivo y de dinámica de sistemas, en el cual se evalúan una serie de políticas y estrategias determinando su impacto en el desarrollo de los combustibles limpios en Colombia. Como resultado, se determina que aunque en Colombia la oferta de combustibles limpios lleva más de 10 años como es el caso de Gas Natural Vehicular, este no ha cumplido el propósito de ser uno de los combustibles de mayo participación en el mercado Colombiano;2013;2013;Español;0;Bohórquez, Luz Esperanza;Bohórquez-Luz Esperanza;Bohórquez-Arevalo, Lu.;;;SISTEMAS EXPERTOS Y SIMULACIÓN (ARCO SES)
19;Contento Ortiz, Astrid Janneth;Contento-Ortiz, Astrid Janneth;Contento-Ortiz, As;Contento-Ortiz, As.;Contento-Ortiz, As.;Diseño de un referente patrón metódico para la medición y análisis de la seguridad alimentaria y la formulación de políticas, planes y programas a nivel del pequeño productor (campesino rural) de Colombia;"Control de alimentos
Alimentos – Investigaciones
Higiene de alimentos";Se presenta el diseño de un referente de patrón metódico que facilita la medición y análisis de la seguridad alimentaria y la formulación de políticas, planes y programas del pequeño productor. Se hace un análisis de los procesos que se han generado y trabajado para la medición de la seguridad alimentaria y las actuales políticas estatales proyectadas para la disminución de la inseguridad alimentaria relacionadas con el pequeño productor;2013;2013;Español;0;Meza, Joaquín Javier;Meza-Joaquín Javier;Meza-Alvarez, Jo.;;;Modelación en Ingeniería de Sistemas (MIS)
20;Gil Malagón, José Antonio;Gil-Malagón, José Antonio;Gil-Malagón, Jo;Gil-Malagón, Jo.;Gil-Malagón, Jo.;Modelo de fortalecimiento del servicio educativo apoyado en la gestión del conocimiento  caso instituciones públicas de Zipaquirá;"Administración escolar
Calidad de la educación
Teoría del conocimiento
Educación – Fines y objetivos";El presente proyecto busca establecer cómo la calidad de la gestión y el tipo de gestión de conocimiento que realiza incide en la calidad del servicio que prestan las instituciones educativas como organizaciones del Estado. La gestión, por tanto, juega un papel de vital importancia en el sector de la educación, para mejorar sus índices de eficiencia y eficacia, como aporte al mejoramiento de la calidad. En esta investigación se diseñó un modelo de Gestión de Calidad para las Instituciones Públicas del Municipio de Zipaquirá, basado en la gestión del conocimiento, que permitió evaluar la calidad de su gestión;2013;2013;Español;0;Medina García, Víctor Hugo;Medina-García, Víctor;Medina-Garcia, Vi.;;;Grupo internacional en informática y comunicaciones para la gestión del conocimiento GICOGE
21;González Larrotta, Elsa Cristina;González-Larrotta, Elsa Cristina;González-Larrotta, El;González-Larrotta, El.;González-Larrotta, El.; Diseño de un sistema de ruteo para la recogida de productos perecederos con componentes aleatorios. Caso flores;"Ingeniería de tránsito
Floricultura
Reparto de mercancías";"Este trabajo se realizó en una empresa del sector floricultor ubicada en el Municipio de Chía, que junto con otras 27 poblaciones, conforman una región denominada Sabana de Bogotá, la cual produce de manera intensiva, flores y arreglos florales, los cuales se exportan vía aérea a los Estados Unidos de América, quien es el mayor socio comercial de Colombia en este aspecto. El diseño de rutas de recolección de estas flores, obedece a la experiencia de muchos años de la persona encargada del transporte, quien utiliza una “heurística”, por llamarla de algún modo, de tipo intuitivo. Dicha persona conoce las fincas y el tipo de productos que ofrecen; este “mecanismo”, no es muy eficiente, ya que se pierde mucho tiempo y recursos por falta de un adecuado sistema de rutas, razón por la cual se diseña y desarrolla en este proyecto un sistema de ruteo para la recogida de productos perecederos –flores- en la Sabana de Bogotá";2013;2013;Español;0;Orjuela Castro, Javier Arturo;Orjuela-Castro, Javier;Orjuela-Castro, Ja.;;;Grupo de Investigación en Competitividad dela Industria Colombiana - GICIC
22;"Guevara Ortega, Luz Maribel
";"Guevara-Ortega, Luz Maribel
";Guevara-Ortega, Lu;Guevara-Ortega, Lu.;Guevara-Ortega, Lu.;Modelo de gestión integral de residuos de construcción y demolición (RCD) para las empresas constructoras en la ciudad de Bogotá D.C.;"Industria de la construcción
Demoliciones
Escombros";"El proyecto presentado, se realizó en el sector de la construcción de la ciudad de Bogotá D.C., en el que se investigó sobre la generación de Residuos de Construcción y Demolición (RCD), el cual se incrementó por los proyectos urbanos de la ciudad; para el 2013 se estiman residuos generados por los proyectos de construcción estimados en más de 7.000 toneladas de escombros. Tal hecho determina la necesidad de una divulgación y aplicación de la normatividad para mitigar el impacto ambiental. Para ello se abordó una descripción teórica desde la cual se ha analizado dicha problemática; En el presente trabajo se plantea un modelo ajustado al Distrito Capital y a la legislación actualizada en RCD para disminuir su impacto ambiental, para lo cual se debe tener en cuenta como punto de inicio a los generadores para un manejo integral de los residuos de construcción y demolición";2013;2013;Español;0;Beltrán Rodríguez, Carlos Alirio;Beltrán-Rodríguez, Carlos;Beltran-Rodriguez, Ca.;;;SISTEMAS EXPERTOS Y SIMULACIÓN (ARCO SES)
23;Laverde Gutiérrez, Andre Giovanny;Laverde-Gutiérrez, Andre Giovanny;Laverde-Gutiérrez, An;Laverde-Gutiérrez, An.;Laverde-Gutiérrez, An.; Diseño y desarrollo de un procedimiento de análisis de costos en el pre-desarrollo de productos electrónicos para las empresas de la industria electrónica de Bogotá;"Industrias eléctricas
Aparatos e instrumentos electrónicos
Administración de ventas
Ingeniería";Se presenta en este trabajo un procedimiento de análisis de costos que emplea técnicas cualitativas y cuantitativas de ingeniería de costos, entre ellas el costeo basado en actividades ABC, aplicado a las tareas de ingeniería electrónica. Mediante el análisis funcional y de arquitectura del producto, considerando tempranamente factores como la complejidad, grado de innovación e incertidumbre que se presentan típicamente en decisiones de diseño, se modelan e implementan dichos factores y análisis obtenidos del procedimiento, en un aplicativo software de autoría propia, que empleando simulación Monte Carlo, estime el costo del producto electrónico;2013;2013;Español;0;Torres P., Jairo;Torres-P., Jairo;Torres-Acosta, Ja.; Amaya Hurtado, Darío;Amaya-Hurtado, Da.;Modelos Matemáticos Aplicados a la Industria MMAI
24; Mayorga Torres, Oscar;Mayorga-Torres, Oscar;Mayorga-Torres, Os;Mayorga-Torres, Os.;Mayorga-Torres, Os.;Modelo de gestión del conocimiento en docencia universitaria  caso Facultad de Ingeniería Universidad Distrital Francisco José de Caldas;"Administración universitaria
Educación superior
Teoría del conocimiento
 Docencia";Las personas como componente del capital intelectual de las organizaciones están pasando de ser un recurso intangible a constituirse en uno de sus más importantes activos. En el presente proyecto se propone para la Facultad de Ingeniería de la Universidad Distrital Francisco José de Caldas, un modelo de gestión del conocimiento, estructurado de acuerdo a la analogía de un modelo en red, se logra un modelo de medición estadística por medio de técnicas de indicadores sociales – académicos, los cuales fueron adaptados a la estructura del modelo organizacional propuesto, de tal forma que se pueda hacer un análisis completo(cualitativo y cuantitativo) del escenario objeto de estudio;2013;2013;Español;0;Medina García, Víctor Hugo;Medina-García, Víctor;Medina-Garcia, Vi.;;;Grupo internacional en informática y comunicaciones para la gestión del conocimiento GICOGE
25;Méndez Zuluaga, Oscar Javier;Méndez-Zuluaga, Oscar Javier;Méndez-Zuluaga, Os;Méndez-Zuluaga, Os.;Méndez-Zuluaga, Os.; A proposal of coevolutionary modeling of interval type-2 fuzzy systems;"Sistemas difusos
Redes neuronales – Computadores
Meteorología – Investigaciones
Reconocimiento óptico de patrón";En este trabajo se presenta un caso particular de un posible acercamiento a coevolutionary tipo 2 modelado difuso intervalo. Algunos principios derivados de un método coevolutionary fundado por uno de tipo sistemas difusos se utilizan y tipo 2, se proponen sistemas difusos, crecientes dudas sobre la aplicación de la coevolución de un problema relacionado con el diseño de referencia de intervalo de tipo 2 -meteorólogos tiempo difuso- para la predicción de series de tiempo es tratado por medio de coevolución cooperativa. Los resultados estadísticos muestran que sistemas difusos tipo 2 en intervalo de trabajo, como individuos evolucionables podrían ser apropiados para el modelado difuso evolutivo, ya que las soluciones mejores y más estables se encuentran en comparación con el sistema difuso tipo 1;2013;2013;Ingles;0; Melgarejo Rey, Miguel Alberto;Melgarejo-Rey, Miguel;Melgarejo-Rey, Mi.;;;LABORATORIO DE AUTOMATICA, E INTELIGENCIA COMPUTACIONAL ( LAMIC)
26;Moreno Calderón, Jairo Alexander;Moreno-Calderón, Jairo Alexander;Moreno-Calderón, Ja;Moreno-Calderón, Ja.;Moreno-Calderón, Ja.;Metodología para la selección de la técnica de modelamiento en evaluación de tecnologías en salud;"Industrias de servicios
Servicios de salud
Medicina
Tecnología médica";El documento contiene una propuesta metodológica basada en Intervención Total de Sistemas (TSI) y Circuitos de Retroalimentación que permite la elección de la técnica de modelamiento para la representación de la historia natural de la enfermedad en una Evaluación de Tecnologías en Salud (ETS). El primer paso metodológico es la revisión de la literatura, empleando la Medicina Basada en Evidencia (MBE) con el propósito de identificar los artículos escritos en medicina, específicamente en ETS, que definen los conceptos relacionados con las técnicas de modelamiento;2013;2013;Español;0;Pinzón, Wilson Alexander;Pinzón-Wilson Alexander;Pinzón-Rueda, Wi.;;;Armonico
27;Navarro Romero, Elisa del Carmen;Navarro-Romero, Elisa del Carmen;Navarro-Romero, El;Navarro-Romero, El.;Navarro-Romero, El.; Diseño de un modelo organizacional, fundamentado en SIRQK para empresas de servicios  estudio de caso: Red Nacional Los Olivos;"Cambio organizacional
 Industrias de servicios
 Administración de proyectos";"El desempeño organizacional se ha visto afectado en las organizaciones debido a dos frentes que al interior de estas, no se han potencializado, como son los recursos tangibles (capital físico y financiero, procesos) e intangibles (conocimiento). Las empresas han volcado sus esfuerzos a fortalecer las cifras (racionalidad numérica) de la organización, sin tener en consideración, que éstas son una consecuencia de la mejora, l innovación y el aprendizaje que puedan lograr en sus procesos, en sus interfaces, en su estructura, en su sistema de gestión, en sus aspectos humanos y culturales y en las relaciones con las partes interesadas; por todo lo anterior, el objetivo del presente proyecto e el de estudiar, analizar y comparar los conceptos concebidos bajo la gestión de calidad y gestión del conocimiento, como procesos integradores de recursos, para proponer un modelo organizacional, fundamentado en SIRQK para empresas de servicios";2013;2013;Español;0; Meza, Joaquín Javier;Meza-Joaquín Javier;Meza-Alvarez, Jo.;;;Modelación en Ingeniería de Sistemas (MIS)
28;Olarte Ramos, Leidy Yamile;Olarte-Ramos, Leidy Yamile;Olarte-Ramos, Le;Olarte-Ramos, Le.;Olarte-Ramos, Le.;Propuesta de mejoramiento en el ruteo de órdenes de trabajo para la planeación de procesamiento de pedidos en MIPYMES del subsector de productos de aseo y cosméticos;"Ingeniería de tránsito
Industrias de servicios
Reparto de mercancías
Cosméticos";En el proyecto se propone la solución de un problema de picking en MIPYMES de productos de aseo y cosméticos para el mejoramiento en el ruteo de órdenes de trabajo a partir del VRP. Se pretende además, la caracterización del procesamiento de pedidos, optimizando los recursos, costos y tiempos asociados en la distribución de los productos en el almacén, utilizando herramientas de la ingeniería de métodos;2013;2013;Español;0;López Bello, César Amilcar;López-Bello, César;Lopez-Bello, Ce.;;;Modelos Matemáticos Aplicados a la Industria MMAI
